# Trip recorded by Car Stats Viewer v0.29.0.0019 (com.ixam97.carStatsViewer_dev)
#
# Vehicle brand and model: Polestar. Polestar (ihu_abl_car)
# Start timestamp: 1726563439239
# End timestamp: 1726664212681
# Trip type: 3
# Drive time: 31389914
# Used energy: 135915.16110147838
# Used SoC: 0.0
# Used Soc (Energy): 0.0
# Driven distance: 730146.7889205553
# Note:
# Last edited: 1726604529250

Timestamp;Energy delta;Distance delta;Point Marker Type;SoC;lat;lon;alt
1726565721828;2.2944;110.8817;;0.28;62.016613;7.356642;980
1726565727128;2.3929;113.0856;;0.28;62.016289;7.358552;977
1726565732527;3.9698;115.7777;;0.28;62.016014;7.360519;974
1726565737727;2.4800;112.2713;;0.28;62.015617;7.362396;972
1726565742928;-7.6728;109.4669;;0.28;62.015144;7.364213;968
1726565748228;14.4335;113.8149;;0.28;62.014793;7.366076;966
1726565753428;-33.1407;108.9050;;0.28;62.014439;7.367995;963
1726565758528;43.7187;107.0221;;0.28;62.014019;7.369793;960
1726565763828;-6.0719;114.7658;;0.28;62.013805;7.371763;958
1726565769127;-6.0967;114.4976;;0.28;62.013565;7.373789;954
1726565774329;7.5667;111.2259;;0.28;62.013306;7.375797;950
1726565779529;0.2631;109.7885;;0.28;62.013184;7.379861;946
1726565784729;6.6122;109.3717;;0.28;62.013123;7.381873;944
1726565790029;-5.7234;109.8581;;0.28;62.013290;7.383826;942
1726565795227;32.9548;108.9827;;0.28;62.013317;7.385782;942
1726565800629;3.0018;111.3554;;0.28;62.013306;7.387789;942
1726565805828;25.1914;107.4978;;0.28;62.013580;7.389674;941
1726565811028;12.7483;108.8344;;0.28;62.013863;7.391587;942
1726565816428;-24.7292;100.5049;;0.28;62.014168;7.393397;942
1726565823829;-69.4845;103.3465;;0.28;62.014164;7.395033;940
1726565838828;-36.3288;104.8498;;0.28;62.013359;7.397295;931
1726565846228;168.7769;116.3329;;0.28;62.013542;7.398759;931
1726565850428;74.7490;101.1473;;0.27;62.013855;7.400734;932
1726565854628;16.2245;103.2588;;0.27;62.014160;7.403019;932
1726565858827;16.1227;102.4002;;0.27;62.014160;7.403019;932
1726565863928;17.2997;124.0433;;0.27;62.014446;7.405288;932
1726565868328;13.6908;106.8621;;0.27;62.014713;7.407563;931
1726565872529;13.2673;101.8404;;0.27;62.014965;7.409839;931
1726565877729;17.5470;125.9164;;0.27;62.015198;7.412116;929
1726565882030;16.4097;104.0628;;0.27;62.015415;7.414410;928
1726565886328;18.2554;103.8866;;0.27;62.015621;7.416693;928
1726565890528;19.9088;101.4393;;0.27;62.015827;7.418975;928
1726565894729;21.0256;101.5614;;0.27;62.016056;7.421248;928
1726565899028;20.7668;104.1138;;0.27;62.016056;7.421248;928
1726565903329;21.5066;104.1597;;0.27;62.016338;7.423499;930
1726565908428;22.8951;123.5389;;0.27;62.016678;7.425712;929
1726565912728;17.9803;104.2531;;0.27;62.017086;7.427880;929
1726565916928;16.8833;101.8253;;0.27;62.017544;7.430006;928
1726565922027;21.2048;123.4473;;0.27;62.017990;7.432136;928
1726565927227;22.6851;125.9329;;0.27;62.018421;7.434279;931
1726565931528;18.4551;104.1346;;0.27;62.018814;7.436460;928
1726565935728;17.8073;101.6229;;0.27;62.019173;7.438655;928
1726565940927;22.4970;125.9048;;0.27;62.019505;7.440882;928
1726565945228;19.2866;104.1052;;0.27;62.019802;7.443132;927
1726565950328;23.4208;123.3924;;0.27;62.020065;7.445392;927
1726565954628;21.0293;104.0233;;0.27;62.020309;7.447669;927
1726565959728;25.7851;123.4443;;0.27;62.020550;7.449940;927
1726565964028;20.9356;104.1424;;0.27;62.020550;7.449940;927
1726565969132;24.4739;123.4981;;0.27;62.020821;7.452198;927
1726565973429;20.3240;104.1449;;0.27;62.021133;7.454432;927
1726565977728;20.9248;104.1538;;0.27;62.021492;7.456637;927
1726565982028;19.9549;104.1544;;0.27;62.021893;7.458812;927
1726565986227;19.5461;101.7592;;0.27;62.022331;7.460944;928
1726565991327;23.8270;123.4934;;0.27;62.022785;7.463071;928
1726565995528;19.8154;101.6847;;0.27;62.023247;7.465186;928
1726565999829;19.6958;104.1333;;0.27;62.023705;7.467305;928
1726566004028;19.1650;101.7128;;0.27;62.023705;7.467305;928
1726566009128;21.3820;123.6425;;0.26;62.024162;7.469427;928
1726566013428;16.6587;104.1762;;0.26;62.024609;7.471558;928
1726566017727;17.5884;104.2165;;0.26;62.025032;7.473710;927
1726566021928;16.5825;101.7587;;0.26;62.025414;7.475897;928
1726566026329;17.2361;106.6716;;0.26;62.025745;7.478123;927
1726566031528;20.4372;125.9594;;0.26;62.026005;7.480394;926
1726566036727;20.2954;125.8913;;0.26;62.026192;7.482694;926
1726566041928;20.5785;125.9507;;0.26;62.026314;7.485014;925
1726566046132;15.1961;101.9052;;0.26;62.026394;7.487339;925
1726566050428;11.2609;104.5113;;0.26;62.026493;7.489672;923
1726566054627;6.9301;102.1840;;0.26;62.026649;7.491991;921
1726566058830;4.0791;102.0265;;0.26;62.026649;7.491991;921
1726566063129;4.7303;104.2598;;0.26;62.026825;7.494301;919
1726566067329;7.4294;101.5738;;0.26;62.026917;7.496631;916
1726566071629;10.5897;103.8762;;0.26;62.026886;7.498956;914
1726566075928;13.1137;103.8888;;0.26;62.026772;7.501270;913
1726566081029;16.5046;123.3465;;0.26;62.026627;7.503578;911
1726566085428;13.7799;106.5760;;0.26;62.026527;7.505902;910
